en,ro
I had already sent you the letter when you called.,Vă trimisesem deja scrisoarea când mi-ați dat telefon.
The vase he broke is my aunt's.,Vaza pe care el a spart-o este a mătușii mele.
He asked some questions of the lady standing next to him.,El i-a pus niște întrebări doamnei care stătea lângă el.
Tom and Mary are leaving next year.,Tom și Mary pleacă anul viitor.
I didn't expect Tom to outsmart me.,Nu mă așteptam ca Tom să mă păcălească.
What color will it be?,Ce culoare va fi?
Maybe there's someone else in the cave.,Poate mai este altcineva în peșteră.
My father is a bank clerk.,Tatăl meu e funcționar la bancă.
Could you dust off the table?,Poți să ștergi praful de pe masă?
I left my key in my room.,Mi-am lăsat cheia in cameră.
He speaks English well.,El vorbește engleză bine.
We're really proud of Tom.,Suntem tare mândri de Tom.
Tom isn't a magician.,Tom nu este magician.
Would you like to join our team?,Ai vrea să te alături echipei noastre?
I'm 25 years old.,Am 25 de ani.
I love to sleep.,Îmi place să dorm.
And who would you be?,Și tu cine ai fi?
She got up to answer the phone.,Ea se ridică pentru a răspunde la telefon.
He has much practical experience as a doctor.,El are multă experiență ca medic.
Take me away.,Du-mă de aici.
I live in Salzburg but I'm moving to Berlin.,"Locuiesc în Salzburg, dar o să mă mut în Berlin."
Can anyone answer my question?,Poate cineva răspunde la întrebarea mea?
I have diarrhea.,Am diaree.
Didn't Tom come to your house?,Nu a venit Tom la tine acasă?
Can he speak French?,Știe el să vorbească franceză?
She cried.,Ea a plâns.
You're irresistible.,Ești irezistibil.
What will you have to drink?,Ce vreţi să beţi?
Today I visited a museum.,Astăzi am vizitat un muzeu.
It's time to stop waiting.,E timpul sa nu mai aștepți.
Some people are very selfish.,Unii oameni sunt foarte egoiști.
"I ate dinner last night, but I don't think Tom did.","Eu am luat cina aseară, dar nu cred că Tom a luat-o."
I've been working there for three months.,Lucrez acolo de trei luni.
She always helped us.,Ea ne-a ajutat mereu.
That is a hotel.,Acela este un hotel.
"Of course, we're prepared.",Bineînțeles că suntem pregătiți.
That's just an extension of an existing idea. There's little novel about it.,Asta e doar o prelungire a unei idei existente. Nu e o mare noutate.
I still love the way you smile at me.,Încă iubesc felul în care îmi zâmbești.
I'll stop smoking from tomorrow.,Mă voi lăsa de fumat începând de mâine.
Tom will pick the kids up after school.,Tom va lua copiii de la școală.
I stayed home last night to be able to receive your call.,Am stat acasă noaptea trecută să primesc telefonul tău.
The thieves entered by the window.,Hoții au intrat pe fereastră.
All you can do is trust one another.,Tot ce puteți face este să aveți încredere unul în altul.
You're a very good person.,Ești o persoană foarte bună.
I have no idea how he escaped.,N-am idee cum de a scăpat.
The effects of the medicine were wearing off.,Efectele doctoriei se atenuau.
Everybody started to panic.,Toată lumea a început să intre în panică.
"Where are you from, my friends?","Prietenii mei, de unde sunteți ?"
Tone of voice can indicate feelings.,Tonul vocii poate indica anumite sentimente.
He went back to Japan.,El s-a întors în Japonia.
My father sometimes goes abroad.,Câteodată tatăl meu merge în străinătate.
The money on the table isn't mine.,Banii de pe masă nu sunt ai mei.
Can such a thing happen again?,S-ar putea să se întâmple înca o dată așa ceva?
She went with him to the zoo.,Ea a mers cu el la grădina zoologică.
Enrollment will be free.,Înscrierea va fi gratuită.
She says she didn't do that.,Ea spune că nu a făcut asta.
I miss them so much.,Mi-e foarte dor de ei.
My parents are both dead.,Părinții mei sunt amândoi morți.
I really like my job.,Chiar îmi place jobul meu.
He is in hospital.,El este în spital.
Happy Fourth of July!,O zi de 4 Iulie fericită!
I am more handsome than you.,Eu sunt mai frumos decât tine.
"Long before Darwin's theory of evolution, Buffon had surmised that species evolved very slowly under different material circumstances.","Cu mult timp înainte de teoria evoluției a lui Darwin, Buffon a presupus că speciile au evoluat foarte încet, în circumstanțe materiale diferite."
She made him a new coat.,Ea i-a făcut o nouă haină.
You may use his library.,Poți să te folosești de biblioteca lui.
She could not find her way back.,Ea nu a putut găsi calea de întoarcere.
That's my boy.,Acesta e fiul meu.
We need to talk.,Trebuie să vorbim.
There's a lot of potential.,Există mult potențial.
I came earlier than usual.,Am venit mai devreme decât de obicei.
I had never been late for school before.,N-am întârziat niciodată la şcoală mai înainte.
Come back here.,Vino înapoi aici.
It's beyond my comprehension.,Asta este peste puterea mea de înțelegere.
There are a lot of forts in Castile.,Există o mulțime de castele în Castilia.
Who's winning?,Cine câștigă?
I prefer travelling by train to flying.,Prefer călătoria cu trenul decât zborul.
That's downright dangerous.,Asta e de-a dreptul periculos.
We can't give up.,Nu putem renunța.
Good afternoon.,Bună ziua!
"Five tremors in excess of magnitude 5.0 on the Richter scale have shaken Japan just this week, but scientists are warning that the largest expected aftershock has yet to hit.","Cinci cutremure slabe depășind magnitudinea 5 pe scara Richter au zguduit Japonia doar în această săptămână, iar oamenii de știință avertizează că replica mai mare urmează să lovească."
One apple a day keeps the doctor away!,Un măr pe zi ţine doctorul departe.
Can you speak English?,Vorbiți engleză?
He went by me without noticing me.,A trecut pe lângă mine fără să mă observe.
Attack!,Atacă!
The homogeneity of this city is depressing.,Omogenitatea acestui oraș este deprimantă.
She waited for you for two hours.,Te-a aşteptat două ore.
I can't go to class right now.,Nu pot merge la ore chiar acum.
We're sorry for what we did.,Ne pare rău pentru ceea ce am făcut.
I understand.,Înțeleg.
Nadal won a grueling tennis match. It lasted five sets.,Nadal a câștigat un meci de tenis istovitor. A durat cinci seturi.
My name is Dan.,Pe mine mă cheamă Dan.
This is closely bound up with the question.,Acest lucru este strâns legat de problemă.
Activist groups for the environment and food safety question the product’s safety.,Grupurile militante pentru mediu și siguranța alimentară se îndoiesc de siguranța produsului.
You'll be happy.,Vei fi fericit.
Windows is the most used operating system in the world.,Windows este sistemul de operare cel mai folosit.
Class doesn't begin until eight-thirty.,Ora nu începe până la opt și jumătate.
We're not out of the woods yet.,Încă nu am ieşit din pădure.
I had an asthma attack.,Am avut o criză de astm.
Tom is downstairs.,Tom este cu un etaj mai jos.
Maybe she wasn't talking about you.,Poate nu vorbea despre tine.
Do not come between a husband and his wife.,Nu interveni între un soț și soția sa.
Today is Friday.,Azi e vineri.
"You can't swim, can you?","Nu știi să înoți, nu-i așa?"
An own language for each nation and a second that's shared by all.,O limbă proprie pentru fiecare nație și o a doua împărțită de către toți.
I think I'm gonna sneeze. Give me a tissue.,Cred că voi strănuta... Te rog dă-mi o batistă.
Precisely!,Exact!
I ordered pizza.,Am comandat pizza.
What's your e-mail address?,Care este adresa dumneavoastra de e-mail?
I would like some fish.,Aș vrea niște pește.
A few people have two cars.,Câțiva oameni au două mașini.
We congratulated him on winning a gold medal.,L-am felicitat pentru câștigarea medaliei de aur.
I don't understand your question.,Nu înțeleg întrebarea ta.
I'll move soon.,Mă voi muta în curând.
They say that Venice is a beautiful city.,Ei spun că Veneția este un oraș frumos.
Could we have a table by the window?,Putem avea o masă la fereastră?
I sent her home.,Am trimis-o acasă.
Mary is a dance instructor.,Mary este instructor de dans.
I can't live without a TV.,Nu pot trăi fără televizor.
Between me and my consciousness is an abyss.,Există un abis între mine și conștiința mea.
It is up to you to decide whether we will go there or not.,Depinde de tine să decizi dacă vom merge acolo sau nu.
This sword endows you with great power.,Această sabie îți furnizează o mare putere.
Tom knows what to do when Mary has an epileptic seizure.,Tom știe ce să facă când Mary are o criză de epilepsie.
Twenty railroads were closed down.,20 de linii ferate fuseseră închise.
Why did my sixty-year-old landlord buy a trampoline?,De ce a cumpărat o trambulină proprietarul de șaizeci de ani al locuinței unde stau?
Tell me what's going on.,Spune-mi ce se întâmplă.
"When spring arrived, the snow melted.","Când a venit primăvara, zăpada s-a topit."
Your medicine is ready.,Leacul tău e pregătit.
I'm constantly studying.,Învăţ permanent.
I like to study foreign languages.,Îmi place să studiez limbi străine.
Tom is jaded and cynical.,Tom este ursuz și cinic.
Happy Birthday!,La mulți ani!
"The teacher controls the class, usually standing in front of the students and lecturing to them during the lesson.","În general, profesorul controlează clasa stând în picioare în faţa elevilor şi făcându-le morală în timpul lecţiei."
You must pay in advance.,Trebuie să plăteşti în avans.
"Recently, while browsing Wikipedia, I came across Esperanto.","Zilele acestea, răsfoind Wikipedia, am dat de Esperanto."
I want to be a sport reporter.,Vreau să mă fac reporter sportiv.
I like your country a lot.,Îmi place foarte mult țara ta.
Don't try to imitate me.,Nu încerca să mă imiți.
I'll bite the bullet.,Voi lua taurul de coarne.
The teacher spoke too fast for us to understand.,Profesorul vorbea prea repede că să-l mai putem înțelege.
Ethnic minorities struggle against prejudice and poverty.,Minoritățile etnice luptă împotriva prejudecăților și sărăciei.
He was laid off.,A fost concediat.
Tom taught me how to swim.,Tom m-a învățat să înot.
Admission is free.,Intrarea este liberă.
Cool!,Maxim!
Tom pulled a box from under the bed.,Tom a scos o cutie de sub pat.
I was very thirsty and I wanted to drink something cold.,Îmi era tare sete și am vrut să beau ceva rece.
Where is your paper?,Unde este lucrarea ta?
People with Mohawk haircuts frighten me!,Oamenii cu creastă mă sperie!
Tom says he's hungry.,Tom spune că-i este foame.
"It's already September; however, it is very hot.","Acum suntem în luna septembrie, dar vremea este foarte călduroasă."
These gloves belong to Tom.,Aceste mănuși îi aparțin lui Tom.
She accidentally tore the page.,Ea a rupt pagina fără să vrea.
The spider web glistened in the morning dew.,Pânza de păianjen lucea cu roua dimineții.
His house is full of convenience.,Casa lui e plină de lucruri utile.
The city hall is very old.,Primăria este foarte veche.
The group stayed at Fort Clatsop for four months.,Grupul a stat la fortul Clatsop pentru patru luni.
You two come with me.,Voi doi veniți cu mine.
You're the first person to mention that.,Ești prima persoană care spune asta.
It will not happen.,Nu o să se întâmple.
Respect is the foundation of life.,Respectul este temelia vieţii.
Yesterday I was in a meeting.,Ieri am stat într-o întâlnire.
A bull with short trousers has escaped.,A fugit un bou în pantaloni scurţi.
Tom likes snow.,Lui Tom îi place zăpada.
They were found unharmed.,Ei au fost găsiți nevătămați.
Answer the question.,Răspunde la întrebare.
The odds were seemingly insurmountable but he overcame them to win the presidency.,"Decalajele erau aparent insurmontabile, dar el le-a depășit câștigând președinția."
"Without him, I would be helpless.","Fără el, aş fi neajutorată."
Where's your towel?,Unde este prosopul tău?
We discussed the matter with each other.,Am discutat problema între noi.
Ready!,Ura și la gară!
"Tom doesn't always get up early, but he always gets up before Mary does.","Tom nu se trezește întotdeauna devreme, dar întotdeauna se trezește înaintea lui Mary."
"When the cow flies high and the ox flies low, there probably is a twister.","Când vaca zboară la înălțime și boul zboară aproape de sol, probabil că este o tornadă."
For whom do the bells toll?,Pentru cine bat clopotele?
I'm not sure you understand.,Nu sunt sigur că înțelegi.
Do I really have to go?,Chiar trebuie să mă duc?
Don't do anything strenuous tonight.,Nu face nimic obositor în seara asta.
Don't drop that glass.,Nu scăpa paharul ăla.
He pays no attention to others' feelings.,Nu este atent la sentimentele celor din jur.
Aluminium became more expensive than gold.,Aluminiul devenea mai costisitor decât aurul.
Churches are designated on the map with crosses.,Bisericile sunt marcate pe hartă cu cruci.
Tom has given us so much.,Tom ne-a oferit așa mult.
None of them is alive.,Niciunul dintre ei nu este viu.
Tom isn't in the van.,Tom nu este în dubă.
Students arriving late will not be permitted to enter the hall.,Studenţilor care sosesc târziu nu le va fi permisă intrarea în cămin.
It was a job done well.,Era o treabă bine făcută.
Tom is an avid art collector.,Tom este un colecționar de artă avid.
"Next thing you know, you'll be in the papers.","Următorul lucru care se întâmplă, ești dat la ziar."
Call the police!,Cheamă poliția!
Tensions are starting to simmer between Sami and Layla.,Situațiile tensionate încep să mocnească între Sami si Layla.
Tom is no longer studying French.,Tom nu mai studiază limba franceză.
"Seeing that you're not surprised, I think you must have known.","Văzând că nu ești surprins, cred că trebuie să fi știut."
"Tom is unassuming, isn't he?","Tom este modest, nu-i așa?"
Will you help me for a minute?,Vrei să mă ajuți un minut?
His life is in danger.,Viața lui e în pericol.
"Four metres of this material cost nine francs; therefore, two metres cost four and a half francs.",Patru metri din acest material costă nouă franci; deci doi metri costă patru franci şi jumătate.
Are you busy?,Eşti ocupat?
I can't reveal my sources.,Nu-mi pot dezvălui sursele.
They're looking for a scapegoat.,Ei caută un țap ispășitor.
I can't fathom how Tom did that.,Nu pot să înțeleg cum a făcut Tom asta.
Why don't you listen?,De ce nu asculți?
I always get my homework done on time.,Totdeauna îmi fac temele la timp.
"My father is a hard-working, straightforward, and modest person.","Tatăl meu este o persoană muncitoare, cinstită și modestă."
The subject of a sentence is usually a person or a thing performing the action shown by the verb.,"Subiectul unei propoziții este, de obicei, o persoană sau un lucru care efectuează acțiunea indicată de verb."
What I saw was depressing.,Ce am văzut era deprimant.
We won the battle.,Am câștigat bătălia.
Tom doesn't know why Mary doesn't eat meat.,Tom nu știe de ce Mary nu mănâncă carne.
Management tried to appease labor by offering them a bonus.,Conducerea a încercat să liniştească muncitorii oferindu-le un bonus.
Tom has a lot of things to do this morning before he leaves the house.,Tom are multe lucruri de făcut în această dimineață înainte de a pleca de acasă.
I'm drunk.,Sunt beat.
How are you?,Ce faci?
You're not crazy.,Nu ești nebună.
What time is it please?,Cât este ceasul?
Tom and Mary are on the porch.,Tom și Mary sunt pe terasă.
See you tomorrow.,Ne vedem mâine.
Maybe we really are alone.,Poate că suntem într-adevăr singuri.
I have not eaten anything for the last three days.,N-am mai mâncat ceva de vreo trei zile.
I've seen you someplace.,Te-am văzut undeva.
Die!,Mori!
I'm not at liberty to discuss it.,Nu am libertatea să discut despre asta.
It snowed for days.,A nins cu zilele.
"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.","Aș vrea să-mi pese mai mult de notele mele, dar se pare că, la un anumit moment din viața mea, am decis că n-ar fi chiar așa de important."
I have nothing better to do.,N-am nimic mai bun de făcut.
I'm not busy right now.,Nu sunt ocupat chiar acum.
You must do your best.,Trebuie să dai tot ce e mai bun din tine.
Portuguese seems to be a difficult language.,Portugheza pare a fi o limbă dificilă.
Tom entered my house.,Tom a intrat în casa mea.
The little girl cried so much that her face was awash with tears.,Fetița a plâns atât de mult încât fața ei era scăldată în lacrimi.
He made it.,A scăpat.
Open your book to page ten.,Deschide-ți cartea la pagina zece.
I thought he was there.,Am crezut că el a fost acolo.
This app will let you sync your photos and music between all your devices.,"Cu ajutorul acestei aplicaţii, veţi putea sincroniza fotografiile şi muzica între aparatele dumneavoastră."
Tom is OK.,Tom este bine.
It's not mine.,Nu este al meu.
I think my living with you has influenced your way of living.,Cred că traiul meu cu tine ți-a influențat modul de viață.
You are children.,Voi sunteţi copii.
Layla was bleeding profusely.,Layla sângera profund.
Rugby is an outdoor game.,Rugbiul este un joc în aer liber.
Summer holiday begins in July.,Vacanţa de vară incepe în iulie.
Watch out for thieves around here.,Păzește-te de hoți pe aici.
She went with him to the movies.,Ea a mers cu el la cinema.
You seem to be thinking of something else.,Pari să te gândeşti la altceva.
I was lenient.,Am fost îngăduitor.
Tom and Mary returned to their hotel room.,Tom și Mary s-au întors în camera lor de hotel.
Happy birthday!,La mulți ani!
Is this your family?,Aceasta este familia ta?
You are naughty.,Ești obraznic.
Tom stuck a poster on the wall.,Tom a pus un poster pe perete.
You can use it anytime.,Îl puteţi folosi oricând.
I go to visit my friend in the hospital every other day.,O să-mi vizitez prietenul la spital o dată la două zile.
The settlers did not always honor the treaties.,Nou-veniții nu onorează întotdeauna tratatele.
You took advantage of me.,Ai profitat de mine.
I'm just saying!,Ziceam doar!
What's that sound?,Ce e sunetul ăsta?
I'm carrying on the family's traditions.,Eu duc mai departe tradițiile familiei.
You're really talented.,Tu ești cu adevărat talentat.
She never speaks about that.,Ea nu vorbește niciodată despre asta.
You can't or you won't?,Nu poți sau nu vrei?
Tom rarely wears a hat.,Tom rareori poartă o pălărie.
Smoking is very bad for your health.,Fumatul este foarte dăunător pentru sănătatea dumneavoastră.
Tom spent more than three years in prison.,Tom a stat mai mult de trei ani în închisoare.
"A naïve fox does not exist. Likewise, there is no such thing as a man without faults.","Nu există vulpe naivă. De asemenea, nu există nici om fără defecte."
The statement is not wholly true.,Afirmația nu este adevărată în întregime.
"Either Tom goes, or I go!","Ori merge Tom, ori eu."
Italy is a very beautiful country.,Italia este o ţară foarte frumoasă.
How cute!,Ce drăguț!
I think Tom should go.,Cred că Tom ar trebui să plece.
Do you speak Spanish?,Vorbeşti spaniola?
I work for a travel agency.,Lucrez la o agenţie de voiaj.
She wrote to me to come at once.,Mi-a scris să vin numaidecât.
I'm nervous.,Sunt agitat.
This is the house I lived in when I was young.,Aceasta este casa în care am trăit când eram tânăr.
I can't deal with this right now.,Nu mă pot ocupa de problema asta chiar acum.
We were successful.,Am avut succes.
We have shut the door.,Am închis ușa.
I'm saving money for my old age.,Eu pun bani deoparte pentru bătrânețe.
Do I look like a farmer?,Arăt eu a fermier?
Tom is sick.,Tom este bolnav.
She went off with her friends.,A ieşit cu prietenii ei.
They agree.,Ei sunt de acord.
Sami got interviewed.,Sami a fost intervievat.
"It's not what you say, but what you do that counts.","Nu ceea ce zici, ci ceea ce faci contează."
I read it in the magazine three days ago.,Am citit despre asta în revistă acum trei zile.
He plays the piano very well.,El cântă la pian foarte bine.
"As is often the case, the boy ran away from home.","Cum se întâmplă adeseori, băiatul a fugit de acasă."
We ran out of gas on the way to the theater.,Am rămas fară benzină la jumătatea drumului către teatru.
He made me write the letter with a pen.,M-a făcut să scriu scrisoarea cu stiloul.
Tom didn't need a bicycle.,Tom nu avea nevoie de o bicicletă.
I miss Boston.,Îmi lipsește Bostonul.
She loves to fish.,Ei îi place să pescuiască.
I need help.,Am nevoie de ajutor!
Will you stay at home?,Vei sta acasă?
Put this Japanese into English.,Tradu din japoneză în engleză.
"The spacious plain spread as far as the eye can see, dotted with groves here and there.","Vasta câmpie se întindea cât vezi cu ochii, punctată cu plantaţii ici şi colo."
Tom was in charge.,Tom era la conducere.
"By the time you get out of jail, she'll probably have gotten married.","Până când ieşi tu din închisoare, ea probabil se va fi măritat."
Youth is wholly experimental.,Tinerețea este în întregime experimentală.
I spent my vacation in a foreign country.,Mi-am petrecut vacanța într-o țară străină.
Would you like to eat something?,Vreţi să mâncaţi ceva?
I like chicken.,Îmi place carnea de pui.
I wish he could be here with us today.,Aș vrea ca el să fie astăzi aici cu noi.
We might have frost next week.,Ar putea fi îngheț săptămâna viitoare.
Where's the toilet?,Unde este toaleta?
You'd better start now.,Ai face bine să-ncepi acum.
The roof collapsed under the weight of the snow.,Acoperișul s-a prăbușit sub greutatea zăpezii.
I'm a doctor.,Sunt medic.
The teacher asked us a few questions.,Învățătorul ne-a pus câteva întrebări.
Tom has taught French for thirty years.,Tom a predat franceza vreme de treizeci de ani.
You shouldn't have followed me.,Tu n-ar fi trebuit să mă urmezi.
"To the whole world - good night, good day and good morning.","Pentru întreaga lume - noapte bună, bună ziua și bună dimineața."
You might meet Tom if you go to the library.,S-ar putea să-l întâlnești pe Tom dacă mergi la bibliotecă.
Where did you find your key?,Unde ți-ai găsit cheia?
Where's the rope?,Unde este frânghia?
Nobody loves war.,Nimănui nu-i place războiul.
He seems to be rich.,Pare să fie bogat.
Keep straight on!,Continuă drept înainte!
I will overlook your lateness this time.,"De data asta, voi trece cu vederea întârzierea ta."
I put Tom on the list.,Îl pun pe Tom pe listă.
Who sings this song?,Cine cântă cântecul ăsta?
You are very brave.,Ești foarte curajos.
"He was a strong-minded man, sir, shrewd, practical, and as unimaginative as I am myself.","El era un om puternic, domnule, perspicace, practic, și la fel de lipsit de imaginație ca și mine."
She despises linguistic homogeneity.,Ea disprețuiește omogenitatea lingvistică.
Shit.,Rahat.
She peeled him an apple.,Ea i-a curățat un măr.
It is good to have ideals... don't you think?,Este bine să ai idealuri... nu crezi?
"You can have mediocre results now, or outstanding results later.",Puteți obține rezultate mediocre acum sau rezultate remarcabile mai târziu.
Tom and Mary aren't really my cousins.,Tom și Mary nu sunt cu adevărat verii mei.
"""Is everyone talking about me?"" ""No, Tom. You're not that important.""","„- Toată lumea vorbește despre mine?” „- Nu, Tom. Nu ești atât de important.”"
Nobody can escape death.,Nimeni nu poate evita moartea.
Tom noticed a change in Mary.,Tom a observat o schimbare la Mary.
Our class consists of 40 boys.,Clasa noastră e formată din 40 de băieţi.
The mother wakes up her daughter.,Mama îşi trezeşte fiica.
Mr. Clinton was governor of Arkansas at the time.,Dl Clinton a fost guvernator în Arkansas la acea vreme.
I guess you are right.,Cred că ai dreptate.
What is your first name?,Care este prenumele tău?
I have a bad imagination.,Am o imaginație slabă.
God created everything.,Dumnezeu a creat totul.
Where is the restaurant?,Unde este restaurantul?
Tom is not as young as I am.,Tom nu este la fel de tânăr ca mine.
My heart stopped.,Mi s-a oprit inima.
She was eating a sandwich.,Ea mânca un sandviș.
I'm a beginner.,Sunt începător.
That's already been done.,Asta a fost făcută deja.
Do you have some milk?,Ai niște lapte?
We're still not sure.,Încă nu știm sigur.
We'll just have to wait and see how things pan out.,Trebuie să așteptăm și să vedem cum evoluează lucrurile.
Tom is somewhere here on the campus.,Tom este pe undeva aici în campus.
How's life in Rio?,Cum e viața în Rio?
He's stark crazy.,El este complet nebun.
Are you prepared to do this?,Ești pregătit să faci asta?
Obviously.,Desigur.
"What do you think, Miss West?","Ce credeți, domnișoară West?"
You're by my side; everything's fine now.,Ești lângă mine; totul e bine acum.
When will the Italian course start?,Când vor începe orele de italiană?
He looked around.,El s-a uitat în jur.
I am engaged to her.,Sunt logodit cu ea.
I paid about 50 bucks.,Am plătit aproape 50 de dolari.
It doesn't bother me to walk in the rain.,Nu mă deranjează să merg prin ploaie.
He put on the red jacket.,S-a îmbrăcat cu jacheta roşie.
The students are back.,Studenții au revenit.
Who am I talking with?,Cu cine vorbesc?
She watched the grass turn green.,Ea privea cum iarba se înverzește.
I would like to give him a present for his birthday.,Aș dori să-i dau un cadou de ziua lui.
The fields abound in wild flowers.,Câmpurile abundă în flori sălbatice.
Try to enlarge the image.,Încearcă să mărești imaginea.
She has no sense of humor.,Ea nu are simțul umorului.
Sunshine is beneficial to plants.,Soarele este benefic pentru plante.
Helping others is never a waste of time.,A ajuta pe alții nu este niciodată o pierdere de timp.
His health has broken down because of overwork.,Sănătatea lui s-a deteriorat din cauza suprasolicitării.
You might meet Tom.,Ai putea să-l întâlnești pe Tom.
I assume that you've read my report.,Presupun că mi-ai citit raportul.
Take me away.,Ia-mă de aici.
What sort of things make you feel sad?,Ce fel de lucruri te întristează?
I'm not afraid of death.,Nu-mi e frică de moarte.
Think globally but act locally.,"Gândește global, dar acționează la nivel local."
Tom is Mary's first cousin.,Tom este verișorul primar al lui Mary.
Don't be silly.,Nu fi prost.
Stop talking like that.,Încetează să mai vorbești așa.
I like tennis very much.,Îmi place mult tenisul.
I can't stay in this house.,Nu pot să stau în casa asta.
"The room looks different, now I like it more.","Camera arată diferit, acum îmi place mai mult."
I expect your help.,Aştept ajutorul tău.
She witnessed him being killed.,Ea a asistat la omorârea lui.
Tom knows that Mary doesn't like raw eggs.,Tom știe că lui Mary nu-i plac ouăle crude.
Haven't you had your dinner?,N-ai luat masa de seară?
Brilliant!,Maxim!
Tom doesn't know anything about Australia.,Tom nu știe nimic despre Australia.
"In mathematics, a quiver is a directed graph.","În matematică, un quiver este un graf orientat."
Sorry to bother you.,Îmi cer scuze că te deranjez.
It's a vague story.,E o poveste vagă.
I heard someone knocking.,Am auzit pe cineva ciocănind.
I don't like swimming in pools.,Nu-mi place înotul în piscine.
We had to write off the debt.,A trebuit să achităm datoria.
I think Tom is smart because he's learning German.,Cred că Tom este deștept pentru că învață germană.
There were lots of people.,Au fost o grămadă de oameni.
"We liked the food, especially the fish.","Ne place mâncarea, în special peștele."
Tom was disappointed by the result.,Tom a fost dezamăgit de rezultat.
The experiment was a huge success.,Experimentul a avut mare success.
Please wait for thirty minutes.,Vă rugam să așteptați treizeci de minute.
Please don't bother.,Vă rog nu vă deranjați!
You can't drink the water here.,Nu puteți bea apă aici.
I made her happy.,Am făcut-o fericită.
I have no balance.,Nu am echilibru.
The experiment must begin.,Experimentul trebuie să înceapă.
These are unworthy people.,Acești oameni sunt nevrednici.
I forgot my tools.,Mi-am uitat uneltele mele.
We all shall die sooner or later.,Toţi vom muri mai devreme sau mai târziu.
"In city after city, big public meetings were held.","Oraș după oraș, largi întâlniri publice au avut loc."
I've lost my pin number!,Mi-am pierdut codul pin!
"""Is everybody talking about me?"" ""No, Tom. You're not that important.""","„- Toată lumea vorbește despre mine?” „- Nu, Tom. Nu ești atât de important.”"
Weren't you tired?,Nu ai fost obosit?
Tom brought Mary to Boston with him.,Tom a adusă pe Mary la Boston cu el.
Nothing would tempt me to deceive him.,Nimic nu m-ar ispiti să-l înșel.
"You needn't go too early, need you?","Nu-i nevoie să pleci prea devreme, nu-i aşa?"
I hope you die.,Sper să muriți.
Tom has a low-pitched voice.,Tom are o voce groasă.
You're not looking.,Tu nu privești.
He slumbered out the whole day.,A picotit întreaga zi.
My family isn't rich.,Familia mea nu este bogată.
The first time I saw the Romanian soccer players was in Madrid.,Prima dată i-am văzut pe fotbaliștii români la Madrid.
Do you speak Klingon?,Vorbeşti klingona?
Who doesn't know this problem?!,Cine nu cunoaște această problemă?!
I thought you knew her.,Am crezut că o cunoști.
I have the right to call my lawyer.,Am dreptul să-mi sun avocatul.
I make 100 euros a day.,Câștig 100 de euro pe zi.
My hands and feet always feel cold.,Mâinile și picioarele mi le simt totdeauna reci.
It looks like snow.,Pare a fi zăpadă.
I don't share your opinion.,Eu nu-ți împărtășesc opinia.
You ran a red light.,Ai trecut pe roșu.
Don't open before the train stops.,A nu se deschide înainte de oprirea trenului.
That was just an accident.,Acela a fost doar un accident.
I want to be left alone.,Vreau să fiu lăsat în pace.
Tom knows Mary's dog's name.,Tom știe numele câinelui Mariei.
She writes to her son every now and then.,Îi scrie fiului ei din când în când.
Hug Tom for me.,Îmbrățișează-l pe Tom din partea mea.
I hope Tom stays in school.,Sper că Tom rămâne la școală.
Tom works for a think tank.,Tom lucrează pentru un consiliu de experți.
"Obviously, the theorem is true for finite sets.","Evident, teorema este valabilă pentru mulțimi finite."
She will miss the train.,Ea va pierde trenul.
Tom doesn't mind helping Mary occasionally.,Pe Tom nu-l deranjează să o ajute ocazional pe Mary.
There was a list of available candidates.,Era o listă cu candidații disponibili.
He took them with him.,I-a luat cu el.
Tom doesn't care what Mary says.,Lui Tom nu-i pasă ce spune Mary.
I don't care how much it itches. Don't scratch it.,Nu-mi pasă cât de mult te mănâncă. Nu o scărpina.
Unfortunately I don't think I'd be of much help.,Din nefericire nu cred că aş fi de prea mult ajutor.
What a good idea!,Ce idee bună!
Tom has three million dollars in the bank.,Tom are trei milioane de dolari la bancă.
Furry rabbits are so cute.,Iepurii pufoşi sunt drăguţi.
Malaria is a disease spread by mosquitoes.,Malaria e o boală răspândită de țânțari.
Tom and Mary say they're not angry.,Tom și Mary spun că nu sunt furioși.
His wife is a member of the Castelli family.,Soția sa este un membru al familiei Castelli.
Tom bought Mary some flowers.,Tom i-a cumpărat câteva flori lui Mary.
"Workers of all lands, unite!","Proletari de peste tot, uniți-vă!"
Don't be so sensitive.,Nu fi atât de sensibil.
It seldom snows here in the winter.,Aici ninge rareori iarna.
The grand jury indicted Tom for murder.,Marele juriu l-a inculpat pe Tom pentru crimă.
Wash the quince thoroughly.,Spală gutuia cu atenție.
He walked ahead of me.,El mergea înaintea mea.
Father is going to undergo an operation.,Tata va fi supus unei operații.
You have no reason to complain.,Nu ai niciun motiv să te plângi.
Today it's snowing.,Ninge azi.
Did you watch the game?,Ai urmărit meciul?
How deep is the abyss?,Cât de adânc este abisul?
Christmas is here.,A sosit Crăciunul.
Tom isn't my lawyer.,Tom nu este avocatul meu.
Where are we going?,Unde ne ducem?
These policies had far-reaching consequences for the geopolitics of the region.,Aceste politici au consecințe profunde pentru geopolitica regiunii.
"We'll help you, okay?","Te vom ajuta, OK?"
Hello!,Salut.
You like elephants.,Ție îți plac elefanții.
